Zipcode,Number of Stations,Population,Household Income,Total Commute Time,Average Commute Time,Total Vehicles,Average Vehicles per Household,latitude,longitude
94107,22,692142,3673670,405900,28.20316843,117700,8.17815453,831.1512889,-2692.686003
94108,29,410147,1834627,221241,28.36423077,29000,3.717948718,1095.943471,-3549.809335
94109,14,802228,1319892,489888,14.60956698,92470,2.757664321,529.1679127,-1713.882454
94110,4,289520,538368,170432,6.196625945,53080,1.929901105,151.006604,-489.63594
94111,28,101108,3385340,50232,22.71913161,11480,5.192220715,1058.252821,-3427.205417
94112,4,338828,379028,174032,7.432500534,92420,3.947042494,150.8958852,-489.8199964
94114,2,69836,324386,41276,2.450341348,13580,0.806173939,75.519056,-244.86094
94115,11,380644,1353407,213125,12.49120853,67100,3.932715977,415.646236,-1346.772207
94116,2,94692,232178,46426,2.861563116,23710,1.461415187,75.491323,-244.994195
94117,1,44650,170211,28222,1.546919535,7275,0.398761237,37.77604,-122.44565
94118,2,84190,243288,46298,2.593144393,19630,1.099473507,75.550759,-244.91536
94121,1,43616,103151,22346,1.280719853,10585,0.606659789,37.782007,-122.505051
94122,6,372768,732456,201048,8.76560865,96120,4.190791768,226.571921,-734.777321
94123,6,155340,973236,100860,7.325150701,38730,2.812840439,226.8255666,-734.5849648
94124,5,178735,316335,82515,7.354933595,44400,3.957571976,188.62942,-611.954529
94128,112,16352,-74666666592,4144,inf,-74666666592,#NAME?,4214.209633,-13708.21452
94129,10,41360,1969170,25070,19.38901779,10450,8.081979892,378.006994,-1224.549412
94130,1,3008,54375,1416,2.336633663,470,0.775577558,37.812467,-122.362181
94132,20,628720,1686980,321340,31.15571068,161500,15.65832849,754.4136641,-2449.611735
94133,8,214368,558048,112704,8.682227872,25000,1.925891688,302.418354,-979.2946769
94134,2,84836,155966,40872,3.357870523,23130,1.900262898,75.442174,-244.806918
94158,69,583395,10823064,362664,81.29657028,93150,20.88096839,2606.009413,-8444.96051
94301,22,364804,3501256,153890,21.85316671,100760,14.3084351,821.5965026,-2685.995089
94303,16,771904,1692208,360768,25.21090147,290080,20.27113906,599.076978,-1953.957562
94304,59,227268,7683393,96229,52.1283857,43660,23.65113759,2208.294113,-7207.576429
94305,60,983820,3600000,381000,106.4840693,104400,29.17831191,2245.63684,-7330.23991
94306,66,1810710,9477996,777018,72.75449438,577500,54.07303371,2469.799767,-8061.160689
94401,15,540015,1407750,274380,22.13277406,196725,15.86875857,563.565319,-1834.893847
94402,19,488357,3212634,231496,24.26074198,184965,19.38430099,713.389923,-2324.04206
94403,32,1421056,4316000,749920,45.36995584,574080,34.73168371,1201.363277,-3913.648165
94404,25,924625,3745900,451225,31.46398438,358000,24.96339167,938.922861,-3056.963758
94501,11,702031,1044901,343838,13.50927236,223300,8.773377338,415.488984,-1344.833741
94502,10,147010,1544370,69720,14.03946839,49350,9.937575513,377.273194,-1222.340568
94503,4,81104,407460,37528,7.07674901,32960,6.215349802,152.7014,-489.017178
94506,3,75720,638217,30405,3.673432403,26040,3.146067416,113.4049792,-365.7897855
94508,1,3935,89531,1897,1.902708124,1390,1.394182548,38.561453,-122.446448
94509,10,681660,645020,272960,12.67400288,214000,9.936388541,380.045066,-1218.218197
94510,5,141750,515815,67300,5.93526766,57525,5.073198695,190.284581,-610.72897
94513,31,1993703,3355533,834861,40.35094248,714550,34.53600773,1175.585567,-3773.160894
94514,1,1475,69934,506,1.12195122,450,0.997782705,37.877278,-121.631861
94515,21,157311,1793757,72975,24.31689437,54705,18.22892369,810.2334836,-2574.094908
94519,1,20041,96540,9436,1.362796072,7790,1.125072213,37.979959,-122.030029
94520,27,1046331,1637604,515916,37.74350721,353565,25.86619358,1025.553505,-3295.128728
94521,4,173124,427752,80920,5.079086116,65420,4.106201356,151.786178,-487.899351
94523,18,630090,2116224,305262,21.86690544,236070,16.91045845,683.2906251,-2197.229978
94526,6,198810,916362,83352,6.727360775,71070,5.736077482,226.914815,-731.982091
94530,3,78435,321018,35040,3.397653447,21720,2.106079705,113.735007,-366.910069
94531,3,129066,313938,58857,4.716483693,45795,3.669765206,113.850276,-365.189012
94533,18,1366362,1314756,614196,25.55104418,523530,21.77926616,688.3139114,-2197.153433
94534,24,941736,2748888,436992,33.36580896,389760,29.75948691,917.5546695,-2930.778015
94535,2,7684,140460,3138,3.031884058,2690,2.599033816,76.544205,-243.880683
